"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","Target"
55,68,71,40,100,6,5,0,14,35,66,68,89,100,0,83,'Normal'
41,58,99,39,100,1,27,0,33,40,80,75,66,100,0,83,'Normal'
13,78,44,47,36,0,0,0,48,39,100,74,85,100,20,79,'Normal'
19,90,57,61,96,19,17,0,2,34,81,64,100,100,0,99,'Normal'
100,100,29,88,45,52,79,16,16,0,0,33,42,68,44,98,'Normal'
44,73,77,100,100,68,78,28,68,0,100,33,56,51,0,53,'Normal'
16,92,0,70,68,36,68,0,15,25,53,63,100,100,34,92,'Normal'
0,20,38,56,46,100,6,81,58,56,100,24,50,0,7,15,'Normal'
65,98,41,74,100,100,32,85,10,60,0,0,73,12,33,62,'Normal'
76,100,59,66,89,23,9,0,0,31,80,62,100,96,2,86,'Normal'
66,74,23,100,14,69,64,36,47,0,0,23,35,60,100,87,'Normal'
21,93,0,65,56,35,48,0,17,26,61,60,100,95,32,100,'Normal'
36,100,39,66,100,97,34,100,29,47,0,0,73,10,32,66,'Normal'
0,73,54,47,100,15,43,0,51,35,81,69,63,100,2,72,'Normal'
62,76,0,100,22,68,90,37,100,0,13,8,13,47,68,81,'Normal'
23,100,46,57,100,79,49,89,0,48,20,0,79,22,24,53,'Normal'
65,95,0,77,46,36,35,0,5,26,73,61,100,100,6,84,'Normal'
40,83,81,46,79,7,5,0,51,35,100,71,72,100,0,77,'Normal'
75,92,23,83,58,39,77,0,0,13,42,51,100,86,32,100,'Normal'
40,81,67,65,100,27,38,0,0,24,46,61,81,99,27,100,'Normal'
21,73,84,42,90,7,0,0,19,35,81,66,100,100,9,89,'Normal'
80,81,34,100,0,70,45,39,76,0,28,12,57,54,100,85,'Normal'
2,20,44,53,63,100,14,98,53,59,100,25,57,0,0,13,'Normal'
70,81,25,100,0,74,42,40,77,5,40,0,53,40,100,70,'Normal'
50,54,80,96,38,100,37,50,46,0,0,15,45,45,100,61,'Normal'
100,83,20,100,0,68,71,36,89,0,17,15,42,55,98,91,'Normal'
2,77,54,100,100,79,86,47,59,16,63,0,73,27,0,43,'Normal'
23,74,42,38,51,0,0,7,26,42,81,69,100,97,25,100,'Normal'
43,39,100,73,69,100,7,70,60,36,57,0,0,16,67,48,'Normal'
95,68,76,100,34,78,50,39,52,0,0,6,40,39,100,60,'Normal'
77,83,47,72,78,27,22,0,0,30,68,60,100,100,20,90,'Normal'
72,100,2,77,59,36,100,0,0,7,31,52,100,92,22,91,'Normal'
49,78,34,60,30,18,0,0,19,39,57,73,100,100,44,82,'Normal'
38,81,92,100,100,66,65,33,37,0,100,20,67,51,0,72,'Normal'
48,92,29,62,92,100,16,67,0,38,36,0,100,43,10,41,'Normal'
82,100,0,85,67,49,100,10,6,0,12,41,82,77,69,99,'Normal'
20,60,0,83,15,39,100,9,30,0,47,54,67,100,2,59,'Normal'
74,74,62,100,10,76,36,39,62,2,0,0,24,30,100,50,'Normal'
46,92,0,75,48,39,44,0,7,19,52,57,100,92,37,100,'Normal'
82,86,0,67,38,29,96,0,25,20,65,61,100,100,18,73,'Normal'
0,77,52,57,100,26,54,0,23,24,56,58,75,94,21,100,'Normal'
100,86,49,100,3,79,37,43,59,5,9,0,0,40,43,70,'Normal'
66,76,34,100,5,76,43,39,44,0,0,17,45,50,100,76,'Normal'
100,70,46,94,32,51,87,9,0,0,38,46,80,91,19,100,'Normal'
1,13,46,53,72,100,13,97,39,54,100,23,56,0,0,19,'Normal'
0,24,43,59,64,100,18,94,67,61,100,23,43,0,7,29,'Normal'
75,61,85,100,22,82,37,42,55,2,0,0,31,36,100,60,'Normal'
69,94,0,81,73,55,100,21,32,0,20,33,58,67,51,100,'Normal'
100,100,33,95,0,60,47,28,48,0,5,21,40,59,87,92,'Normal'
32,87,24,54,81,100,0,72,18,44,36,0,100,44,19,49,'Normal'
0,96,31,63,100,32,86,0,12,18,53,53,98,87,41,100,'Normal'
28,49,35,93,100,100,81,54,41,13,52,0,66,45,0,63,'Normal'
25,94,6,58,87,30,85,0,0,17,49,53,100,89,35,100,'Normal'
97,91,33,93,55,46,54,0,0,10,49,49,100,87,30,100,'Normal'
61,96,46,68,71,22,11,0,0,34,67,63,100,100,25,93,'Normal'
46,78,26,54,84,100,0,75,24,42,29,0,100,44,20,39,'Normal'
57,95,59,56,76,12,0,0,28,33,100,60,96,100,21,88,'Normal'
86,83,40,100,0,72,49,37,63,0,10,20,52,55,100,82,'Normal'
36,82,45,60,81,100,0,70,19,45,25,0,100,37,4,32,'Normal'
100,92,20,90,7,42,65,0,0,10,18,58,78,100,45,97,'Normal'
94,83,29,77,100,41,78,0,0,11,45,56,92,100,10,79,'Normal'
89,98,57,76,63,34,19,0,0,25,55,56,100,91,36,100,'Normal'
55,90,44,56,29,13,0,0,28,38,64,69,100,100,63,99,'Normal'
56,71,31,100,16,66,24,23,0,0,17,34,57,57,100,76,'Normal'
0,21,49,57,79,100,15,81,45,44,100,15,29,0,5,25,'Normal'
84,74,74,100,32,74,58,34,49,0,0,8,48,37,100,62,'Normal'
93,77,47,100,8,68,70,33,74,0,0,20,52,57,100,92,'Normal'
40,84,33,81,100,42,81,0,0,13,46,57,94,100,11,90,'Normal'
54,77,30,37,0,0,13,25,55,54,100,80,89,100,37,86,'Normal'
61,83,19,100,3,62,15,21,0,0,0,40,47,62,100,79,'Normal'
59,100,28,71,26,20,0,0,28,40,72,67,100,99,49,99,'Normal'
40,100,0,58,93,90,6,92,11,52,9,0,100,34,0,38,'Normal'
48,84,38,41,20,0,0,14,37,51,89,81,100,100,36,84,'Normal'
3,61,69,34,69,0,0,13,45,46,100,78,71,100,29,71,'Normal'
100,91,44,100,0,76,10,37,30,0,3,25,25,61,72,86,'Normal'
57,100,0,75,62,40,62,0,2,15,56,53,100,93,23,95,'Normal'
32,84,66,100,100,80,64,40,30,0,68,11,36,52,0,91,'Normal'
54,97,20,73,48,34,35,0,0,22,50,50,100,78,71,100,'Normal'
86,74,21,100,0,73,66,38,100,0,12,8,49,49,100,76,'Normal'
100,87,9,100,0,67,74,37,94,0,21,15,60,56,93,94,'Normal'
36,93,31,55,79,100,0,73,31,53,27,0,100,37,32,46,'Normal'
51,62,56,100,1,82,33,42,65,1,0,0,32,40,100,65,'Normal'
36,86,0,75,35,34,12,0,11,35,75,68,100,100,12,89,'Normal'
47,97,17,79,57,40,70,0,0,17,33,53,100,79,65,100,'Normal'
26,94,0,80,47,41,68,0,5,9,52,46,100,84,36,100,'Normal'
51,67,81,100,0,89,33,50,83,13,13,0,41,34,100,62,'Normal'
32,87,76,51,98,14,16,0,46,32,100,66,76,100,0,82,'Normal'
48,88,28,58,34,9,0,0,25,42,66,77,100,100,49,78,'Normal'
65,100,0,79,67,41,99,0,10,3,41,42,100,80,6,90,'Normal'
64,97,32,67,19,26,0,0,30,36,67,67,100,100,47,88,'Normal'
25,67,79,49,100,13,51,0,54,37,78,73,61,100,0,79,'Normal'
44,76,61,100,6,75,41,38,70,0,0,0,33,36,100,62,'Normal'
51,91,5,86,0,43,22,0,8,24,50,61,100,93,45,100,'Normal'
72,97,4,91,14,45,29,0,0,30,61,65,100,100,20,86,'Normal'
59,61,91,100,37,92,36,46,45,0,0,6,35,36,100,38,'Normal'
73,95,7,76,78,40,100,2,0,0,37,41,82,82,51,100,'Normal'
27,73,35,48,100,14,70,0,38,38,89,75,94,100,0,86,'Normal'
60,56,56,100,0,79,46,38,100,0,45,1,39,48,91,86,'Normal'
37,89,25,54,80,20,15,0,0,26,62,58,100,97,23,100,'Normal'
58,95,60,64,100,32,83,0,17,20,62,51,69,85,0,100,'Normal'
87,80,54,100,24,68,61,34,37,0,0,19,52,48,100,80,'Normal'
45,100,68,64,100,24,39,0,5,33,68,65,85,97,0,97,'Normal'
88,100,9,93,8,45,55,0,0,6,37,50,100,84,44,99,'Normal'
79,78,42,100,27,66,68,30,50,0,0,22,45,54,100,82,'Normal'
100,83,29,100,27,65,86,32,59,0,0,21,45,58,99,89,'Normal'
36,86,30,70,78,35,55,0,0,21,62,53,100,89,9,100,'Normal'
65,67,72,100,1,75,32,37,61,0,0,4,32,44,100,74,'Normal'
30,79,4,66,68,31,41,0,0,28,57,64,100,100,0,92,'Normal'
100,82,61,100,50,68,72,31,38,0,0,16,31,49,78,76,'Normal'
44,93,0,100,32,60,85,27,61,0,41,36,100,65,72,88,'Normal'
67,78,54,100,0,83,36,43,61,0,15,14,51,54,100,80,'Normal'
12,79,62,46,100,12,23,0,41,33,86,67,82,100,0,88,'Normal'
17,97,25,59,85,100,0,82,27,51,23,0,100,36,19,33,'Normal'
69,82,0,100,22,64,96,36,96,0,33,20,93,53,100,79,'Normal'
11,58,85,41,87,0,0,9,23,50,100,78,71,100,10,77,'Normal'
23,100,13,70,66,36,33,0,0,25,59,58,100,96,28,97,'Normal'
31,100,0,82,47,46,97,12,44,0,31,33,95,61,100,91,'Normal'
24,97,55,60,77,22,21,0,0,31,51,62,100,95,30,100,'Normal'
72,100,3,76,100,63,49,99,29,45,0,28,53,0,33,48,'Normal'
32,85,67,55,95,10,4,0,12,40,95,71,100,100,0,87,'Normal'
72,68,42,100,0,68,61,34,79,0,1,16,50,53,100,88,'Normal'
83,100,18,88,37,43,61,0,0,20,53,56,100,91,22,97,'Normal'
0,25,52,58,76,98,15,100,54,64,100,29,49,0,9,28,'Normal'
29,61,97,31,78,0,0,12,45,45,100,77,80,100,9,73,'Normal'
51,91,46,56,29,15,0,0,36,33,72,64,100,100,48,92,'Normal'
30,81,62,43,64,0,29,15,62,52,100,87,58,100,0,87,'Normal'
43,100,0,88,67,47,85,0,17,16,83,56,100,93,17,74,'Normal'
43,67,83,33,78,0,9,9,57,41,100,73,57,100,0,78,'Normal'
49,75,44,100,23,73,43,37,47,0,0,16,40,45,100,68,'Normal'
73,92,0,100,23,63,77,31,50,0,7,30,52,66,100,98,'Normal'
29,100,20,62,100,96,15,96,14,51,25,0,90,47,0,44,'Normal'
53,61,100,73,92,100,55,72,58,36,51,1,0,0,29,31,'Normal'
100,98,51,100,11,72,44,35,43,0,0,20,22,61,65,92,'Normal'
86,59,56,100,0,81,48,42,71,0,11,8,45,52,100,88,'Normal'
81,60,96,100,0,98,49,54,96,11,13,0,33,45,100,86,'Normal'
77,97,13,85,62,41,100,0,24,11,48,63,72,100,0,76,'Normal'
18,68,50,54,100,19,30,0,24,35,84,68,90,100,0,84,'Normal'
49,49,100,79,54,100,8,68,35,27,0,0,6,35,71,63,'Normal'
77,99,43,77,34,36,0,0,23,34,66,68,100,100,39,78,'Normal'
0,77,50,100,100,72,40,39,13,0,74,1,23,38,12,77,'Normal'
49,73,61,100,0,84,42,42,81,0,26,10,43,56,100,86,'Normal'
49,91,31,63,71,29,11,0,0,32,49,67,100,100,0,83,'Normal'
100,75,49,100,24,61,100,27,91,0,0,18,66,55,93,85,'Normal'
75,77,41,100,19,68,65,36,59,0,0,5,43,38,100,66,'Normal'
6,27,47,57,62,100,8,91,48,56,100,25,51,0,0,22,'Normal'
13,65,73,34,94,0,0,0,27,34,82,65,100,100,27,77,'Normal'
77,97,63,73,91,32,54,0,0,24,49,54,100,86,46,100,'Normal'
69,91,10,95,34,46,50,0,0,23,62,50,100,87,36,100,'Normal'
0,71,64,52,100,16,34,0,21,36,69,68,80,100,8,93,'Normal'
97,75,60,100,35,68,68,32,49,0,0,22,39,57,100,83,'Normal'
95,69,60,100,35,66,63,28,24,0,0,23,41,56,100,82,'Normal'
44,95,1,72,39,36,38,0,0,24,49,57,100,90,34,100,'Normal'
56,76,18,100,0,69,57,37,71,0,12,20,62,55,100,83,'Normal'
66,94,0,92,38,48,90,5,11,0,36,45,100,84,18,100,'Normal'
67,73,41,100,16,67,73,34,78,0,0,10,35,47,100,77,'Normal'
76,56,75,100,0,90,35,53,95,21,47,0,57,44,100,85,'Normal'
50,93,4,100,38,58,100,17,25,0,0,43,54,87,6,89,'Normal'
100,99,43,100,8,68,38,32,25,0,0,30,41,63,95,86,'Normal'
58,56,55,100,0,74,68,42,100,0,19,1,29,45,87,83,'Normal'
0,77,49,100,100,74,85,37,58,0,93,13,69,48,5,74,'Normal'
41,94,71,72,95,33,34,0,0,27,51,63,100,100,41,94,'Normal'
0,54,59,54,100,23,45,0,41,34,79,69,65,100,13,75,'Normal'
29,83,0,83,41,42,53,0,17,20,50,61,100,100,29,95,'Normal'
76,81,25,100,35,64,94,31,75,0,0,22,28,58,100,88,'Normal'
35,74,71,42,100,9,62,0,76,38,89,76,48,100,0,82,'Normal'
59,85,4,100,49,50,94,0,0,24,49,56,100,88,4,90,'Normal'
67,96,20,100,21,59,41,20,11,0,0,35,48,65,100,93,'Normal'
0,33,66,60,100,100,48,78,84,37,52,0,30,32,85,68,'Normal'
37,55,100,72,94,100,52,75,57,37,57,0,0,2,9,36,'Normal'
10,23,56,59,67,100,0,93,44,57,100,25,50,0,16,26,'Normal'
0,69,28,100,100,97,77,55,40,15,86,0,38,33,9,72,'Normal'
72,64,54,100,24,73,54,36,45,0,0,19,41,53,100,80,'Normal'
65,66,61,100,13,67,76,34,90,0,0,5,32,44,100,75,'Normal'
38,71,72,36,81,0,12,11,57,45,100,80,49,100,0,70,'Normal'
56,66,100,94,44,100,35,64,63,29,37,0,0,22,42,54,'Normal'
79,87,32,63,85,32,73,0,0,12,42,44,100,75,70,100,'Normal'
7,61,75,35,72,0,0,7,42,41,100,72,79,100,14,75,'Normal'
30,68,63,39,77,0,0,6,44,41,100,75,63,100,9,69,'Normal'
64,83,16,87,11,43,0,0,5,33,54,68,100,100,25,90,'Normal'
85,100,19,76,100,62,47,97,26,50,0,18,81,0,48,43,'Normal'
31,74,62,37,55,0,0,17,46,49,100,78,83,100,34,72,'Normal'
80,71,59,100,18,73,44,34,50,0,0,20,46,50,100,74,'Normal'
68,94,67,75,100,100,39,70,0,42,20,0,97,25,33,65,'Normal'
89,93,31,100,40,50,53,0,0,0,46,41,100,79,36,85,'Normal'
67,79,33,62,100,30,71,0,43,32,87,68,93,100,0,79,'Normal'
56,89,55,63,100,29,53,0,52,33,93,68,82,100,0,84,'Normal'
9,70,41,100,100,85,68,42,27,2,75,0,45,42,0,80,'Normal'
65,81,100,48,88,10,7,0,40,35,97,68,78,100,0,87,'Normal'
91,73,55,100,0,73,49,37,83,0,17,7,56,44,100,77,'Normal'
5,28,50,60,69,100,17,90,60,58,100,24,49,0,0,22,'Normal'
59,99,8,100,24,58,81,28,57,0,0,25,39,64,100,93,'Normal'
56,94,21,74,100,89,29,100,0,63,2,0,74,21,20,66,'Normal'
92,100,8,87,54,50,100,15,0,0,5,37,64,73,48,99,'Normal'
100,94,4,100,2,57,87,19,0,0,7,44,78,87,7,91,'Normal'
100,73,56,100,3,72,55,37,80,0,0,3,27,41,95,70,'Normal'
97,98,19,80,100,57,69,100,45,50,0,19,73,0,31,43,'Normal'
5,66,16,100,100,98,69,58,29,20,75,0,21,32,0,71,'Normal'
77,57,87,100,0,95,43,55,100,15,40,0,28,45,86,85,'Normal'
13,69,78,100,100,73,59,36,11,0,87,11,87,45,0,69,'Normal'
68,100,11,89,59,45,61,0,0,17,65,55,100,100,18,98,'Normal'
91,90,59,64,50,16,0,0,21,44,94,73,100,100,11,92,'Normal'
59,77,15,63,88,31,47,0,14,26,66,62,100,100,0,99,'Normal'
27,50,79,68,100,100,46,85,42,42,51,1,0,0,35,33,'Normal'
25,88,39,61,92,24,27,0,15,33,77,68,100,100,0,88,'Normal'
86,78,53,100,32,69,56,32,36,0,0,18,49,48,100,77,'Normal'
57,92,18,72,42,30,7,0,0,39,50,69,100,99,43,100,'Normal'
78,62,60,100,12,65,94,32,100,0,0,14,60,53,72,83,'Normal'
83,96,20,81,67,41,54,0,0,27,65,62,100,100,15,93,'Normal'
83,63,77,55,100,15,35,0,23,38,70,73,63,100,0,78,'Normal'
43,84,36,63,100,38,75,0,33,24,61,66,61,100,0,73,'Normal'
90,82,4,94,44,49,62,0,0,7,49,50,100,92,21,100,'Normal'
62,83,27,69,70,26,47,0,0,34,63,66,100,98,19,100,'Normal'
69,97,37,54,57,0,0,4,30,46,100,66,84,100,12,94,'Normal'
31,84,67,50,68,2,0,0,37,40,100,70,70,100,2,82,'Normal'
76,81,0,82,57,42,91,0,19,17,78,57,100,100,20,84,'Normal'
54,82,26,63,100,76,28,100,61,50,0,36,49,0,55,54,'Normal'
100,100,39,93,43,59,70,25,32,0,0,24,34,56,79,84,'Normal'
25,80,75,100,92,69,72,35,52,0,100,18,61,48,0,65,'Normal'
98,100,31,97,48,60,72,23,16,0,0,30,47,62,100,92,'Normal'
42,63,100,85,54,100,42,62,62,22,0,0,0,27,73,51,'Normal'
89,79,48,100,21,71,51,34,40,0,0,18,49,47,100,77,'Normal'
0,39,62,67,86,100,6,87,38,54,100,26,72,0,1,17,'Normal'
7,91,34,60,77,100,0,69,8,39,32,0,100,43,8,39,'Normal'
98,76,59,100,16,76,74,42,77,0,0,9,31,48,100,76,'Normal'
100,85,17,97,8,71,88,41,67,0,0,23,47,63,100,100,'Normal'
22,75,58,41,38,0,0,8,55,39,100,74,60,100,7,76,'Normal'
100,88,32,100,0,64,55,31,40,0,5,30,55,66,91,98,'Normal'
0,63,63,33,72,0,20,9,58,42,100,74,56,100,7,71,'Normal'
79,98,0,87,39,48,95,13,28,0,46,40,100,77,58,100,'Normal'
43,84,0,77,48,37,28,0,1,25,68,57,100,97,21,100,'Normal'
23,69,60,33,48,0,0,19,48,50,100,81,68,100,17,71,'Normal'
50,100,10,67,100,100,14,94,19,56,0,0,89,29,1,40,'Normal'
0,69,35,100,100,94,69,49,26,8,71,0,36,40,15,83,'Normal'
62,95,12,76,74,39,100,0,21,6,30,57,65,100,0,66,'Normal'
62,77,24,100,1,71,41,36,50,0,0,22,42,55,100,74,'Normal'
83,63,48,100,0,76,61,40,82,0,3,9,38,55,100,91,'Normal'
3,15,44,51,88,88,46,100,42,63,100,31,72,0,0,17,'Normal'
26,75,59,41,65,3,0,0,14,36,63,66,100,100,36,90,'Normal'
73,69,100,100,0,95,39,54,85,13,7,0,13,40,89,73,'Normal'
9,63,66,39,77,0,0,4,41,41,100,75,77,100,0,77,'Normal'
28,68,37,100,96,94,82,47,66,0,100,6,46,36,0,70,'Normal'
100,84,49,78,79,39,84,0,0,13,37,50,93,85,18,100,'Normal'
100,100,22,86,23,55,73,27,42,0,0,20,53,47,100,77,'Normal'
62,99,0,92,32,50,100,24,67,0,1,19,38,64,48,100,'Normal'
57,74,45,100,14,69,46,33,39,0,0,23,49,49,100,73,'Normal'
66,82,15,81,25,36,52,0,0,12,52,55,100,100,35,76,'Normal'
0,18,39,59,82,100,34,100,34,62,100,36,68,0,14,19,'Normal'
0,70,33,100,100,94,100,59,75,25,47,0,69,34,14,61,'Normal'
20,73,57,44,76,2,0,0,40,40,100,76,77,100,22,65,'Normal'
24,73,85,63,100,24,35,0,18,33,66,67,79,100,0,88,'Normal'
34,78,39,53,100,24,49,0,44,35,77,70,76,100,0,80,'Normal'
65,82,14,100,33,49,100,5,8,0,0,41,90,72,12,98,'Normal'
100,100,50,100,34,60,69,25,43,0,0,18,27,58,65,92,'Normal'
49,100,57,55,40,9,0,0,44,40,100,77,77,100,14,69,'Normal'
59,84,20,66,59,29,15,0,0,36,58,66,100,100,24,92,'Normal'
8,44,30,84,100,100,97,59,66,19,67,0,61,38,0,69,'Normal'
26,87,67,52,100,18,34,0,24,33,70,67,80,100,0,82,'Normal'
91,67,83,100,25,86,24,43,41,0,0,6,36,33,100,36,'Normal'
5,92,82,100,100,67,57,32,12,0,80,11,70,46,0,66,'Normal'
27,50,66,35,46,0,7,31,46,68,100,100,41,100,0,64,'Normal'
100,100,46,95,51,59,75,25,30,0,0,17,43,46,83,78,'Normal'
49,62,71,100,100,81,83,39,57,1,78,0,51,33,0,49,'Normal'
53,97,31,66,44,20,9,0,0,41,54,67,100,95,37,100,'Normal'
59,77,60,44,69,0,0,6,36,43,100,72,96,100,31,75,'Normal'
55,100,43,41,100,42,61,96,45,43,10,0,98,20,0,27,'Normal'
82,83,39,100,10,64,71,33,72,0,0,10,42,48,100,82,'Normal'
95,88,23,100,57,62,100,24,42,0,0,31,44,69,87,97,'Normal'
51,65,59,100,0,72,63,37,100,1,4,0,15,37,99,62,'Normal'
78,97,44,68,100,30,65,0,38,35,84,77,76,100,0,72,'Normal'
14,70,58,36,28,0,0,30,48,66,100,100,46,95,22,55,'Normal'
68,90,62,80,100,34,54,0,0,21,55,58,97,100,29,96,'Normal'
100,100,41,92,20,60,38,24,0,0,0,24,47,48,97,71,'Normal'
55,95,0,100,26,67,64,33,50,0,16,29,47,63,100,90,'Normal'
72,88,13,100,0,67,28,30,22,0,3,34,51,62,100,90,'Normal'
74,88,15,100,25,61,82,27,56,0,0,23,52,58,100,90,'Normal'
67,73,40,100,10,69,34,31,29,0,0,24,51,47,100,72,'Normal'
49,92,58,48,66,4,0,0,39,36,100,65,92,100,25,88,'Normal'
25,85,68,51,91,13,16,0,50,33,100,65,79,100,0,89,'Normal'
92,78,27,100,0,67,67,36,100,0,14,5,40,44,95,76,'Normal'
46,62,85,96,15,100,12,60,44,19,0,0,28,37,100,55,'Normal'
73,86,12,100,0,66,77,35,100,0,6,8,34,48,75,85,'Normal'
26,93,15,77,97,45,95,1,0,0,42,45,100,88,23,100,'Normal'
58,58,100,94,45,100,41,59,72,20,10,0,0,31,67,57,'Normal'
80,89,52,97,46,49,59,0,0,6,51,44,100,84,49,100,'Normal'
0,57,35,95,100,100,95,57,53,19,43,0,60,38,0,63,'Normal'
10,63,43,100,100,85,75,43,35,6,61,0,58,35,0,66,'Normal'
100,93,47,100,7,70,43,32,27,0,0,32,36,70,83,100,'Normal'
64,87,0,100,35,53,78,6,19,0,61,41,100,82,44,78,'Normal'
100,100,21,84,41,44,79,6,0,0,33,39,80,76,49,97,'Normal'
54,83,11,68,44,32,30,0,0,27,49,59,100,90,21,100,'Normal'
21,64,55,29,7,0,0,32,55,65,100,100,20,93,12,57,'Normal'
31,87,22,49,83,100,0,74,45,67,23,0,100,37,15,38,'Normal'
60,65,95,100,100,76,67,38,37,0,76,8,57,44,0,62,'Normal'
100,82,39,100,16,71,56,38,68,2,0,0,21,34,93,55,'Normal'
80,84,11,100,19,64,100,35,88,0,0,15,42,52,99,88,'Normal'
69,90,33,61,75,16,12,0,0,38,77,59,100,100,20,95,'Normal'
1,74,23,100,83,87,75,42,49,0,100,2,55,34,0,64,'Normal'
11,58,65,35,67,0,4,19,41,53,100,81,57,100,0,79,'Normal'
95,83,17,87,51,48,92,10,0,0,25,37,100,69,94,100,'Normal'
13,71,51,100,100,78,57,39,15,0,79,8,25,44,0,82,'Normal'
6,50,41,50,100,19,44,0,20,37,63,73,65,100,0,73,'Normal'
80,96,24,100,33,61,49,21,11,0,0,36,48,63,100,89,'Normal'
49,82,6,100,0,65,19,27,15,0,8,38,48,62,100,68,'Normal'
76,76,39,100,0,76,41,39,73,0,17,7,35,47,100,69,'Normal'
100,100,42,100,1,71,18,33,14,0,0,32,36,64,83,92,'Normal'
58,94,14,82,31,32,11,0,0,36,58,65,100,97,30,100,'Normal'
78,81,41,91,41,44,56,0,0,18,48,60,100,100,33,91,'Normal'
52,95,0,83,42,41,81,0,1,2,44,39,100,75,50,100,'Normal'
32,63,76,31,50,0,0,14,50,44,100,73,78,100,24,75,'Normal'
86,98,19,85,47,41,74,0,0,10,42,49,100,84,51,100,'Normal'
100,96,47,92,36,58,58,20,17,0,0,33,27,69,65,100,'Normal'
42,78,56,78,100,38,50,0,8,20,58,60,94,100,0,89,'Normal'
100,100,19,93,0,53,27,11,1,0,29,41,79,77,54,96,'Normal'
13,93,56,60,100,25,35,0,8,29,60,63,81,100,0,98,'Normal'
38,76,0,91,39,45,75,0,24,12,58,58,100,100,37,94,'Normal'
28,60,15,100,100,98,74,50,21,6,76,0,23,43,0,87,'Normal'
100,88,47,100,28,62,74,27,55,0,0,19,32,60,86,88,'Normal'
77,100,41,79,56,38,34,0,0,19,53,50,100,82,39,94,'Normal'
12,52,65,54,100,23,47,0,39,33,74,67,68,100,0,90,'Normal'
57,90,0,88,46,52,100,19,39,0,33,37,69,75,39,100,'Normal'
39,100,75,61,100,98,34,81,9,30,72,0,83,45,0,50,'Normal'
77,100,0,87,36,41,60,0,6,19,70,56,100,97,12,90,'Normal'
83,100,9,87,57,44,60,0,0,17,56,56,100,95,10,100,'Normal'
38,54,100,82,64,100,34,65,60,27,17,0,0,32,59,62,'Normal'
51,58,83,100,0,92,3,49,68,10,13,0,15,43,100,77,'Normal'
3,83,47,67,51,25,0,0,11,37,65,69,100,100,21,92,'Normal'
85,52,85,98,0,79,65,39,100,0,9,13,62,56,100,100,'Normal'
0,63,56,35,98,0,41,1,62,39,100,74,69,100,10,74,'Normal'
62,100,0,96,40,62,100,30,43,0,6,27,38,73,13,99,'Normal'
11,75,49,47,83,10,0,0,34,37,100,70,95,100,5,79,'Normal'
63,98,8,83,73,43,100,0,0,5,35,49,97,90,13,100,'Normal'
87,100,36,71,85,35,52,0,0,13,51,49,100,85,44,97,'Normal'
0,79,25,50,98,25,71,0,10,16,50,47,100,76,83,100,'Normal'
88,77,30,96,46,48,68,0,0,2,45,46,100,88,38,100,'Normal'
67,100,10,92,29,53,50,14,1,0,0,37,45,67,100,87,'Normal'
67,99,18,97,32,47,69,0,0,4,45,49,100,91,42,100,'Normal'
73,78,30,100,0,70,75,39,92,0,21,21,75,60,100,88,'Normal'
18,72,59,38,64,0,0,9,50,41,100,73,73,100,9,80,'Normal'
7,82,69,100,100,73,55,37,15,0,74,0,34,38,0,72,'Normal'
29,100,0,75,53,54,100,30,78,0,56,25,66,63,15,71,'Normal'
54,90,22,65,100,77,48,100,14,49,0,0,73,16,44,66,'Normal'
46,78,59,42,51,0,0,6,47,39,100,69,90,100,21,94,'Normal'
93,75,80,100,0,74,51,38,96,4,6,0,32,43,100,79,'Normal'
75,100,0,88,54,58,100,24,44,0,2,29,41,65,22,96,'Normal'
88,97,28,91,26,43,100,5,0,0,37,51,94,100,31,87,'Normal'
49,72,46,100,0,71,48,35,79,0,11,21,40,58,100,86,'Normal'
100,84,57,88,73,43,63,0,0,6,45,45,99,80,83,100,'Normal'
54,57,70,100,0,83,37,41,90,0,19,0,36,45,100,82,'Normal'
61,73,52,100,14,72,54,36,58,0,0,17,45,49,100,79,'Normal'
40,56,100,92,26,100,15,51,77,9,0,0,16,46,100,80,'Normal'
35,55,46,55,100,23,60,0,5,28,32,64,65,100,0,79,'Normal'
40,100,0,75,73,40,81,0,1,9,54,51,100,93,15,98,'Normal'
64,94,50,74,90,36,55,0,0,15,48,51,100,86,24,100,'Normal'
23,49,81,69,100,100,35,87,33,53,68,21,13,0,0,28,'Normal'
32,97,34,58,61,21,0,0,5,35,55,66,100,100,39,93,'Normal'
59,43,100,79,64,100,22,66,55,28,12,0,0,27,67,56,'Normal'
100,88,20,100,43,54,78,10,0,0,12,42,83,74,50,93,'Normal'
92,78,42,100,0,70,41,36,86,2,19,0,28,34,100,63,'Normal'
71,73,92,100,18,81,25,45,45,9,0,0,18,33,100,52,'Normal'
78,91,11,100,6,67,38,34,51,0,0,20,35,51,100,72,'Normal'
3,97,42,63,100,31,61,0,0,19,38,57,80,95,32,100,'Normal'
80,50,77,96,21,100,58,55,77,9,0,0,24,46,100,82,'Normal'
40,79,45,55,69,19,15,0,13,36,67,68,100,100,0,99,'Normal'
100,100,33,91,44,60,84,29,46,0,0,14,39,46,87,75,'Normal'
91,90,31,100,0,65,57,32,84,0,15,14,44,57,100,83,'Normal'
61,100,0,70,54,38,100,5,13,0,34,36,87,71,36,84,'Normal'
61,56,45,100,0,69,58,38,100,0,38,3,46,54,79,99,'Normal'
